OperatorInfo/Title;UsageType/Title;AddressInfo/Title;AddressInfo/AddressLine1;AddressInfo/AddressLine2;AddressInfo/Latitude;AddressInfo/Longitude;NumberOfPoints;Connections/0/ConnectionType/Title;Connections/0/Level/Title;Connections/0/Amps;Connections/0/Voltage;Connections/0/PowerKW
(Unknown Operator);Privately Owned - Notice Required;NISSAN NIPOR MOTOR;C/ Beatriz Nuñez S/N;;37.81368203;-3.785478529;1;CHAdeMO;Level 3:  High (Over 40kW);;;50
(Unknown Operator);Public - Membership Required;EdRR Montblanc;Muralla de Santa Tecla 51;;41.3773855;1.1635958;1;CHAdeMO;Level 3:  High (Over 40kW);;;50
(Unknown Operator);Public;EdRR Puigcerdà;Camí d'Age 21;;42.4271041;1.9295346;1;CHAdeMO;Level 3:  High (Over 40kW);;;50
(Unknown Operator);Public;Parc de Malatosquer;Madrid 220;;42.1675341;2.4731916;1;CHAdeMO;Level 3:  High (Over 40kW);;;50
POLAR (UK);Public - Membership Required;Hotel la Atalaya-Cargacoches. Autovía del Este;Hotel la Atalaya-Cargacoches. Autovía del Este;;40.120106;-3.152257;1;CCS (Type 2 Version of Combined Coupler);Level 3:  High (Over 40kW);;;50
Fenie Energía (Spain);Public - Membership Required;Parking del Hotel Palm Beach;Parking del Hotel Palm Beach;;28.068698;-16.731848;1;Mennekes (Type 2);Level 2 : Medium (Over 2kW);32;230;7
Fenie Energía (Spain);Public - Membership Required;Ayuntamiento Benidorm;Ayuntamiento Benidorm;;38.539398;-0.135502;2;Mennekes (Type 2);Level 2 : Medium (Over 2kW);32;400;22
Fenie Energía (Spain);Public - Membership Required;Parking Concesionario Joaquin Oliva Tarragona;Parking Concesionario Joaquin Oliva Tarragona;;41.129955;1.199614;1;Mennekes (Type 2);Level 2 : Medium (Over 2kW);32;230;7
Fenie Energía (Spain);Public - Membership Required;Ayuntamiento Benidorm;Avd Mediteraneo 42 03503;;38.536305;-0.115612;1;Mennekes (Type 2);Level 2 : Medium (Over 2kW);32;400;22
Fenie Energía (Spain);Public - Membership Required;Jaime Signes S.L.;Plaça Nova;;38.775141;0.085907;1;Mennekes (Type 2);Level 2 : Medium (Over 2kW);32;230;7
Fenie Energía (Spain);Public - Membership Required;Pol. Ind. el Castellar Carrer Societat Unió Musical;Pol. Ind. el Castellar Carrer Societat Unió Musical;;38.691062;-0.496264;1;Mennekes (Type 2);Level 2 : Medium (Over 2kW);32;230;7
Fenie Energía (Spain);Public - Membership Required;Pol. Ind. Cotes Baixes- Carrer A;Pol. Ind. Cotes Baixes- Carrer A;;38.712048;-0.459171;1;Mennekes (Type 2);Level 2 : Medium (Over 2kW);32;230;7
Fenie Energía (Spain);Public - Membership Required;Pol. Ind. Santiago Payá;Pol. Ind. Santiago Payá;;38.684878;-0.490719;1;Mennekes (Type 2);Level 2 : Medium (Over 2kW);32;230;7
Fenie Energía (Spain);Public - Membership Required;Boadilla del Monte - Recinto ferial;Ctra. Boadilla A Villaviciosa;;40.401317;-3.879808;2;Mennekes (Type 2);Level 2 : Medium (Over 2kW);32;400;22
Fenie Energía (Spain);Public - Membership Required;Ayuntamiento Beniflá;Carrer Carril;Beniflá;38.927859;-0.189774;1;Mennekes (Type 2);Level 2 : Medium (Over 2kW);32;400;22
Fenie Energía (Spain);Public - Membership Required;Ayuntamiento Beniarjo;Vicente Camarena CP: 46722;;38.934986;-0.188993;1;Mennekes (Type 2);Level 2 : Medium (Over 2kW);32;400;22
Fenie Energía (Spain);Public - Membership Required;Apartamentos Parque del Mar;Carrer d'es Cadafet;;39.362488;3.228819;1;Mennekes (Type 2);Level 2 : Medium (Over 2kW);32;230;7
POLAR (UK);Public - Membership Required;280 Hotel-Autovía A2 PK 280;280 Hotel-Autovía A2 PK 280;;41.516109;-1.289305;2;Mennekes (Type 2);Level 2 : Medium (Over 2kW);32;400;22
Tesla Motors (Worldwide);Public - Membership Required;Casa Rural Mas Roselló;Cami Mas Palli;;41.84603;3.070962;1;Tesla (Model S onwards);Level 2 : Medium (Over 2kW);;;9
Tesla Motors (Worldwide);Public - Membership Required;Hotel Echaurren Relais & Chateaux;Calle Padre Jose Garcia;;42.325623;-3.01466;1;Tesla (Model S onwards);Level 2 : Medium (Over 2kW);;;17
Tesla Motors (Worldwide);Public - Membership Required;Centro Comercial Arturo Soria Plaza;Calle Arturo Soria;;40.450133;-3.651345;2;Tesla (Model S onwards);Level 2 : Medium (Over 2kW);;;17
Tesla Motors (Worldwide);Public - Membership Required;Hotel Spa Terraza;Avgda. de Rhode;;42.265609;3.167589;1;Tesla (Model S onwards);Level 2 : Medium (Over 2kW);;;5
Tesla Motors (Worldwide);Public - Membership Required;Celler Can Torrens;Celler Can Torrens;;41.513255;2.233708;1;Tesla (Model S onwards);Level 2 : Medium (Over 2kW);32;400;22
Tesla Motors (Worldwide);Public - Membership Required;Zielo Shopping Pozuelo;Avenida de Europa;;40.441629;-3.783134;2;Tesla (Model S onwards);Level 2 : Medium (Over 2kW);16;400;11
Tesla Motors (Worldwide);Public - Membership Required;Centro Comercial Thader;Av. Juan de Borbon;;38.032573;-1.148853;2;Tesla (Model S onwards);Level 2 : Medium (Over 2kW);32;400;22
Tesla Motors (Worldwide);Public - Membership Required;Hotel W Barcelona / Parking Novabocana;Plaça de la Rosa Dels Vents;;41.368544;2.188275;1;Tesla (Model S onwards);Level 2 : Medium (Over 2kW);32;400;22
